Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11
Round,Pick,,Team,Player,Position,Nationality,Height,Weight,Junior Team,Junior League
6,166,NR,NSH,Jeffrey Foss,D,USA,6′ 2,205,RPI,ECAC
6,167,171 NA,COL,Joel Chouinard,D,CAN,6′ 1,186,Victoriaville,QMJHL
6,168,NR,CGY,Ryley Grantham,C,CAN,6′ 3,207,Moose Jaw,WHL
6,169,184 NA,CHI,Ben Smith,R,USA,5′ 11,205,Boston College,H-EAST
6,170,NR,COL,Jonas Holos,D,NOR,5′ 11,196,Sarpsborg,NORWAY
6,171,NR,NYR,Mitch Gaulton,D,CAN,6′ 0,207,Erie,OHL
6,172,189 NA,NJD,David Wohlberg,C,USA,6′ 1,192,USA U-18,USDP
6,173,NR,BOS,Nick Tremblay,C,CAN,5′ 11,190,Smiths Falls,CJHL
6,174,175 NA,WSH,Greg Burke,L,USA,6′ 1,185,Jr. Monarchs,EJHL
6,175,NR,NYI,Justin DiBenedetto,C,CAN,6′ 0,188,Sarnia,OHL
6,176,108 NA,DAL,Matt Tassone,C,CAN,6′ 0,200,Swift Current,WHL
6,177,NR,SJS,Tommy Wingels,C,USA,6′ 0,195,Miami University,CCHA
6,178,NR,PHI,Zac Rinaldo,C,CAN,5′ 11,169,Mississauga,OHL
6,179,NR,CHI,Braden Birch,D,CAN,6′ 3,192,Oakville,OPJHL
6,180,15 NA-G,PIT,Patrick Killeen,G,CAN,6′ 4,204,Brampton,OHL
6,181,186 NA,DET,Stephen Johnston,L,CAN,6′ 1,175,Belleville,OHL
7,182,42 EUR,TBL,Matias Sointu,R,FIN,5′ 10,154,Ilves Jr.,FINLAND-JR.
7,183,NR,LAK,Garrett Roe,L,USA,5′ 8,162,St. Cloud State,WCHA
7,184,NR,ATL,Zach Redmond,D,USA,6′ 2,197,Ferris State,CCHA
7,185,NR,STL,Paul Karpowich,G,CAN,6′ 2,195,Wellington,OPJHL
7,186,NR,SJS,Jason Demers,D,CAN,6′ 1,195,Victoriaville,QMJHL
7,187,NR,CBJ,Sean Collins,C,CAN,6′ 3,184,Waywayseecappo,MJHL
7,188,59 NA,TOR,Andrew MacWilliam,D,CAN,6′ 2,214,Camrose,AJHL
7,189,NR,PHX,Tim Billingsley,D,CAN,6′ 1,177,Mississauga,OHL
7,190,NR,FLA,Matt Bartkowski,D,USA,6′ 1,196,Lincoln,USHL
7,191,18 NA-G,VAN,Morgan Clark,G,CAN,5′ 11,160,Red Deer,WHL
7,192,188 NA,CHI,Joe Gleason,D,USA,5′ 9,171,Edina High,HIGH-MN
7,193,NR,EDM,Jordan Bendfeld,D,CAN,6′ 3,245,Medicine Hat,WHL
7,194,113 NA,SJS,Drew Daniels,R,USA,6′ 2,185,Kent School,HIGH-CT
7,195,92 NA,CAR,Samuel Morneau,L,CAN,5′ 11,190,Baie Comeau,QMJHL
7,196,6 EUR-G,PHI,Joacim Eriksson,G,SWE,6′ 1,189,Brynas Jr.,SWE-JR.
7,197,142 NA,BOS,Mark Goggin,C,USA,5′ 11,177,Choate-Rosemary,HIGH-CT
7,198,NR,CGY,Alexander Deilert,D,SWE,5′ 11,180,Djurgarden Jr.,SWE-JR.
7,199,NR,OTT,Emil Sandin,L,SWE,5′ 10,178,Brynas,SWEDEN
7,200,70 NA,COL,Nate Condon,C,USA,6′ 0,180,Wausau,HIGH-WI
7,201,49 EUR,NSH,Jani Lajunen,C,FIN,6′ 1,184,Blues Jr.,FINLAND-JR.
7,202,97 NA,NJD,Harry Young,D,CAN,6′ 4,215,Windsor,OHL
7,203,74 NA,TBL,David Carle,D,USA,5′ 11,180,Shattuck-St. Mary’s,HIGH-MN
7,204,NR,WSH,Stefan Della Rovere,L,CAN,5′ 11,200,Barrie,OHL
7,205,124 NA,NJD,Jean-Sebastien Berube,L,CAN,6′ 4,210,Rouyn-Noranda,QMJHL
7,206,NR,MTL,Patrick Johnson,C,USA,5′ 9,155,U. of Wisconsin,WCHA
7,207,3 EUR-G,NSH,Anders Lindback,G,SWE,6′ 6,205,Brynas,SWEDEN
7,208,NR,ANA,Nick Pryor,D,USA,5′ 11,184,USA U-18,USDP
7,209,NR,DAL,Mike Bergin,D,CAN,6′ 3,197,CJHL,SMITH FALLS
7,210,NR,PIT,Nicholas D’Agostino,D,CAN,6′ 2,197,St. Michael’s,OPJHL
7,211,NR,DET,Jesper Samuelsson,C,SWE,5′ 11,178,Timra,SWE
