Column1,Column2,Column3,Column4,Column5,Column52,Column6,Column7,Column8,Column9,Column10,Column11
5,149 NA,126,TOR,Dominic Toninato,Garret Ross,C,USA,6′ 0,165,Duluth East,HIGH-MN
5,68 NA,127,ANA,Brian Cooper,Michael McKee,D,USA,5′ 9,184,Fargo,USHL
5,NR,128,MIN,Daniel Gunnarsson,Reece Willcox,D,SWE,6′ 4,191,Lulea,SWEDEN
5,NR,129,CAR,Brendan Woods,Thomas Spelling,LW,CAN,6′ 2,190,U. of Wisconsin,WCHA
5,NR,130,WPG,Connor Hellebuyck,Clark Seymour,G,USA,6′ 4,185,Odessa,NAHL
5,NR,131,BOS,Seth Griffith,Cody Payne,C,CAN,5′ 9,180,London,OHL
5,119 NA,132,COL,Michael Clarke,Ben Hutton,C,CAN,5′ 11,184,Windsor,OHL
5,73 NA,133,BUF,Logan Nelson,Niklas Tikkinen,C,USA,6′ 1,179,Victoria,WHL
5,65 NA,134,DAL,Branden Troock,Travis Brown,RW,CAN,6′ 2,194,Seattle,WHL
5,83 NA,135,NJD,Graham Black,Alexander Kerfoot,C,CAN,5′ 11,173,Swift Current,WHL
5,50 NA,136,OTT,Robert Baillargeon,Colin Miller,C,USA,5′ 11,164,Indiana,USHL
5,124 NA,137,WSH,Connor Carrick,Daniel Zaar,D,USA,5′ 11,185,USA U-18,USHL
5,76 NA,138,SJS,Daniel O’Regan,John McCarron,C,DEU,5′ 9,169,St. Sebastian School,HIGH-MA
5,NR,139,CHI,Garret Ross,Erik Nystrom,LW,USA,5′ 11,169,Saginaw,OHL
5,NR,140,DET,Mike McKee,Jesse Graham,D,CAN,6′ 4,229,Lincoln,USHL
5,90 NA,141,PHI,Reece Willcox,Connor Brown,D,CAN,6′ 3,184,Merritt,BCHL
5,90 EUR,142,NYR,Thomas Spelling,Ryan Rupert,RW,DNK,6′ 1,176,Herning,DENMARK
5,NR,143,PIT,Clark Seymour,Christoph Bertschy,D,CAN,6′ 3,205,Peterborough,OHL
5,NR,144,DAL,Henri Kiviaho,Ryan Olsen,G,FIN,6′ 1,167,Kalpa Jr.,FINLAND-JR.
5,146 NA,145,BOS,Cody Payne,Jake Dotchin,RW,GBR,6′ 2,201,Plymouth,OHL
5,5 NA-G,146,STL,Francois Tremblay,Joseph Blandisi,G,CAN,6′ 1,193,Val d’Or,QMJHL
5,200 NA,147,VAN,Ben Hutton,Simon Fernholm,D,CAN,6′ 2,183,Nepean,CCHL
5,17 EUR,148,PHX,Niklas Tikkinen,Coda Gordon,D,FIN,5′ 11,172,Blues Jr.,FINLAND-JR.
5,89 NA,149,CHI,Travis Brown,Riley Barber,D,CAN,6′ 1,179,Moose Jaw,WHL
5,165 NA,150,NJD,Alexander Kerfoot,Clifford Watson,C,CAN,5′ 9,153,Coquitlam,BCHL
5,NR,151,LAK,Colin Miller,Vincent Hinostroza,D,CAN,6′ 0,175,Sault Ste. Marie,OHL
6,114 EUR,152,CBJ,Daniel Zaar,James De Haas,RW,SWE,5′ 11,167,Rogle Jr.,SWE-JR.
6,NR,153,EDM,John McCarron,Tomas Hyka,RW,USA,6′ 2,219,Cornell U.,ECAC
6,85 EUR,154,MTL,Erik Nystrom,Max Gortz,LW,SWE,5′ 11,176,Modo Jr.,SWE-JR.
6,125 NA,155,NYI,Jesse Graham,Anton Zlobin,D,CAN,5′ 11,170,Niagara,OHL
6,110 NA,156,TOR,Connor Brown,Francis Beauvillier,RW,CAN,5′ 10,160,Erie,OHL
6,NR,157,TOR,Ryan Rupert,Matthew Benning,C,CAN,5′ 8,186,London,OHL
6,35 EUR,158,MIN,Christoph Bertschy,Petteri Lindbohm,C,CHE,5′ 10,170,Bern,SWISS
