5,25 EUR,145,VAN,Anton Cederholm,D,SWE,6′ 1″,204,Rogle Jr.,SWEDEN-JR.
5,8 NA-G,146,LAK,Patrik Bartosak,G,CZE,6′ 1″,193,Red Deer,WHL
5,106 NA,147,ANA,Grant Besse,RW,USA,5′ 9″,177,Benilde-St. M,HIGH-MN
5,132 NA,148,LAK,Jonny Brodzinski,C,USA,6′ 0″,202,St. Cloud State,WCHA
5,NR,149,DAL,Matej Paulovic,LW,SVK,6′ 3″,187,Farjestad Jr.,SWEDEN-JR.
5,104 NA,150,BOS,Wiley Sherman,D,USA,6′ 5″,206,Hotchkiss School,HIGH-CT
5,148 NA,151,SJS,Gage Ausmus,D,USA,6′ 0″,211,USA U-18,USHL
6,174 NA,152,FLA,Joshua Brown,D,CAN,6′ 5″,213,Oshawa,OHL
6,NR,153,COL,Ben Storm,D,USA,6′ 6″,216,Muskegon,USHL
6,180 NA,154,TBL,Henri Ikonen,LW,FIN,5′ 11″,184,Kingston,OHL
6,80 EUR,155,NSH,Emil Pettersson,C,SWE,6′ 1″,158,Timra Jr.,SWEDEN-JR.
6,166 NA,156,CAR,Tyler Ganly,D,CAN,6′ 1″,201,Sault Ste. Marie,OHL
6,NR,157,CGY,Tim Harrison,RW,USA,6′ 3″,175,Dexter Prep,HIGH-MA
6,147 NA,158,EDM,Ben Betker,D,CAN,6′ 5″,200,Everett,WHL
6,62 NA,159,BUF,Sean Malone,C,USA,5′ 11″,183,USA U-18,USHL
6,46 NA,160,NJD,Myles Bell,LW,CAN,5′ 11″,212,Kelowna,WHL
6,NR,161,OTT,Chris Leblanc,RW,USA,6′ 3″,195,South Shore,EJHL
6,26 NA-G,162,PHI,Merrick Madsen,G,USA,6′ 4″,177,Proctor Academy,HIGH-NH
6,12 NA-G,163,PHX,Brendan Burke,G,USA,6′ 3″,176,Portland,WHL
6,121 NA,164,PIT,Dane Birks,D,CAN,6′ 3″,190,Merritt,BCHL
6,82 EUR,165,CBJ,Markus Soberg,RW,NOR,6′ 0″,187,Frolunda Jr.,SWEDEN-JR.
6,NR,166,NYI,Alan Quine,C,CAN,5′ 11″,188,Belleville,OHL
6,77 NA,167,MIN,Avery Peterson,C,USA,6′ 3″,208,Grand Rapids,HIGH-MN
6,NR,168,OTT,Quentin Shore,C,USA,6′ 1″,189,U. of Denver,WCHA
6,105 NA,169,DET,Marc McNulty,D,CAN,6′ 5″,185,Prince George,WHL
6,17 NA-G,170,NYR,Mackenzie Skapski,G,CAN,6′ 2″,186,Kootenay,WHL
6,171 NA,171,NSH,Tommy Veilleux,LW,CAN,6′ 0″,188,Victoriaville,QMJHL
6,9 NA-G,172,TOR,Antoine Bibeau,G,CAN,6′ 2″,207,PEI,QMJHL
6,116 EUR,173,STL,Santeri Saari,D,FIN,6′ 2″,191,Jokerit Jr.,FINLAND-JR.
6,109 NA,174,WSH,Brian Pinho,C,USA,6′ 0″,173,St. John’s Prep,HIGH-MA
6,183 NA,175,VAN,Mike Williamson,D,CAN,6′ 2″,187,Spruce Grove,AJHL
6,79 NA,176,MTL,Jeremy Grégoire,C,CAN,5′ 11″,190,Baie Comeau,QMJHL
6,40 EUR,177,ANA,Miro Aaltonen,C,FIN,5′ 10″,172,Blues,FINLAND
6,146 NA,178,LAK,Zachary Leslie,D,CAN,6′ 0″,175,Guelph,OHL
6,122 NA,179,PIT,Blaine Byron,C,CAN,5′ 11″,163,Smiths Falls,CCHL
6,100 EUR,180,BOS,Anton Blidh,LW,SWE,5′ 11″,184,Frolunda Jr.,SWEDEN-JR.
6,191 NA,181,CHI,Anthony Louis,C,USA,5′ 6″,145,USA U-18,USHL
7,96 EUR,182,DAL,Aleksi Makela,D,FIN,6′ 1″,195,Ilves Jr.,FINLAND-JR.
7,15 EUR,183,COL,Wilhelm Westlund,D,SWE,5′ 11″,184,Farjestad Jr.,SWEDEN-JR.
7,74 EUR,184,TBL,Saku Salminen,C,FIN,6′ 3″,198,K-Vantaa,FINLAND-2
7,NR,185,NSH,Wade Murphy,RW,CAN,5′ 11″,176,Penticton,BCHL
7,NR,186,TBL,Joel Vermin,RW,CHE,5′ 11″,192,Bern,SWISS
7,21 EUR,187,CGY,Rushan Rafikov,D,RUS,6′ 2″,181,Yaroslavl 2,RUSSIA-JR.
7,153 NA,188,EDM,Gregory Chase,C/RW,CAN,6′ 0″,195,Calgary,WHL
7,NR,189,BUF,Eric Locke,C,USA,5′ 10″,184,Saginaw,OHL
7,NR,190,WPG,Brenden Kichton,D,CAN,5′ 10″,175,Spokane,WHL
7,139 NA,191,LAK,Dominik Kubalik,LW,CZE,6′ 2″,179,Sudbury,OHL
7,NR,192,PHI,David Drake,D,USA,6′ 3″,155,Des Moines,USHL
7,131 NA,193,PHX,Jedd Soleway,C,CAN,6′ 2″,208,Penticton,BCHL
7,76 EUR,194,WPG,Marcus Karlstrom,D,SWE,6′ 2″,181,AIK U18,SWEDEN-JR.
7,130 NA,195,CBJ,Peter Quenneville,C/RW,CAN,5′ 11″,183,Dubuque,USHL
7,133 NA,196,NYI,Kyle Burroughs,D,CAN,5′ 11″,182,Regina,WHL
7,111 NA,197,MIN,Nolan De Jong,D,CAN,6′ 2″,199,Victoria,BCHL
7,NR,198,CGY,John Gilmour,D,CAN,5′ 11″,173,Providence,H-EAST
7,NR,199,DET,Hampus Melen,RW,SWE,6′ 2″,165,Tingsryd,SWE JR
7,14 NA-G,200,MIN,Alexandre Belanger,G,CAN,6′ 0″,170,Rouyn-Noranda,QMJHL
7,170 NA,201,SJS,Jacob Jackson,C,USA,5′ 11″,182,Tartan,HIGH-MN
7,33 EUR,202,TOR,Andreas Johnson,LW,SWE,5′ 10″,183,Frolunda Jr.,SWEDEN-JR.
7,NR,203,NSH,Janne Juvonen,G,FIN,6′ 1″,183,Pelicans Jr.,FINLAND-JR.
7,66 NA,204,WSH,Tyler Lewington,D,CAN,6′ 1″,189,Medicine Hat,WHL
7,150 NA,205,VAN,Miles Liberati,D,USA,5′ 11″,195,London,OHL
7,164 NA,206,FLA,MacKenzie Weegar,D,CAN,5′ 11″,183,Halifax,QMJHL
7,NR,207,SJS,Emil Galimov,LW,RUS,6′ 1″,169,Yaroslavl,RUSSIA
7,NR,208,NJD,Anthony Brodeur,G,USA,5′ 10″,177,Shattuck,HIGH-MN
7,119 NA,209,PIT,Troy Josephs,C,CAN,5′ 11″,176,St. Michael’s,OJHL
7,NR,210,BOS,Mitchell Dempsey,LW,CAN,6′ 2″,204,Sault Ste. Marie,OHL
7,NR,211,CHI,Robin Press,D,SWE,6′ 2″,187,Sodertalje,SWEDEN-2
