,Round 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overall,Team,Player,Nat.,Pos,Age,To,Junior Team,League,GP,G,A,PTS,+/-,PIM,Height,Weight,D-1_League,D-1_GP,D-1_G,D-1_A,D-1_TP,D-1_P/G,D-1_PIM,D-1_+/-,D0_GP,D0_G,D0_A,D0_TP,D0_P/G,D0_PIM,D0_+/-,NHLe
69,Phoenix Coyotes,Michael Stone,CA,D,18,2023,Calgary Hitmen ,WHL,515,37,102,139,-43,276,6′ 3,200,WHL,55,2,18,20,0.36,32,1,71,10,25,35,0.49,28,3,2.57152
70,St. Louis Blues,James Livingston,CA,RW,18,,Soo Greyhounds ,OHL,,,,,,,6′ 1,200,OHL,60,2,5,7,0.12,95,11,68,21,23,44,0.65,135,10,3.4112
71,Anaheim Ducks,Josh Brittain,CA,LW,18,,Kingston Frontenacs ,OHL,,,,,,,6′ 4,210,OHL,54,5,12,17,0.31,38,2,68,28,23,51,0.75,106,14,3.936
72,New York Islanders,Jyri Niemi,FI,D,18,,Saskatoon Blades ,WHL,,,,,,,6′ 3,203,Finland Jr.,35,6,3,9,0.26,72,6,49,14,20,34,0.69,57,1,3.62112
73,New York Islanders,Kirill Petrov,RU,RW,18,,Ak Bars Kazan ,Russia,,,,,,,6′ 3,198,Russia-3,16,8,6,14,0.88,22,0,47,4,6,10,0.21,54,6,1.10208
74,Los Angeles Kings,Andrew Campbell,CA,D,20,2016,Soo Greyhounds ,OHL,42,0,2,2,-13,12,6′ 4,207,OHL,63,4,14,18,0.29,75,9,68,13,22,35,0.51,64,20,2.67648
75,New York Rangers,Evgeny Grachev,RU,C,18,2012,Lokomotiv Yaroslavl 2 ,Russia-3,34,1,3,4,-7,2,6′ 4,224,Russia-3,30,7,6,13,0.43,8,0,34,17,20,37,1.09,18,0,5.72032
76,Phoenix Coyotes,Mathieu Brodeur,CA,D,18,,Cape Breton Screaming Eagles ,QMJHL,,,,,,,6′ 5,190,QMAAA,44,6,7,13,0.3,58,0,69,1,6,7,0.1,27,1,0.5248
78,Calgary Flames,Lance Bouma,CA,C,18,2018,Vancouver Giants ,WHL,357,30,46,76,-7,210,6′ 1,210,WHL,49,3,5,8,0.16,31,0,71,12,23,35,0.49,93,10,2.57152
79,Ottawa Senators,Zack Smith,CA,C,20,2020,Swift Current Broncos ,WHL,662,98,106,204,-46,722,6′ 2,210,WHL,71,16,15,31,0.44,130,18,72,22,48,70,0.97,136,31,5.09056
80,Florida Panthers,Adam Comrie,CA,D,18,,Saginaw Spirit ,OHL,,,,,,,6′ 4,205,USHL,57,7,10,17,0.3,55,12,58,10,18,28,0.48,90,17,2.51904
81,Buffalo Sabres,Corey Fienhage,US,D,18,,Eastview HS ,High-MN,,,,,,,6′ 2,190,USHS-MN,20,4,11,15,0.75,0,0,24,6,6,12,0.5,76,0,2.624
82,New Jersey Devils,Adam Henrique,CA,C,18,2023,Windsor Spitfires ,OHL,789,223,229,452,-13,235,6′ 0,200,OHL,62,23,21,44,0.71,20,17,66,20,24,44,0.67,28,17,3.51616
85,Anaheim Ducks,Brandon McMillan,CA,LW,18,2015,Kelowna Rockets ,WHL,171,14,22,36,-35,60,5′ 11,188,WHL,55,2,10,12,0.22,27,17,71,15,26,41,0.58,56,5,3.04384
86,Montreal Canadiens,Steve Quailer,US,LW,19,,Sioux City Musketeers ,USHL,,,,,,,6′ 3,184,18U AAA,53,14,23,37,0.7,25,0,60,19,30,49,0.82,55,16,4.30336
87,St. Louis Blues,Ian Schultz,CA,RW,18,,Calgary Hitmen ,WHL,,,,,,,6′ 1,179,AMHL,32,13,25,38,1.19,92,0,67,15,15,30,0.45,128,10,2.3616
88,Los Angeles Kings,Geordie Wudrick,CA,LW,18,,Swift Current Broncos ,WHL,,,,,,,6′ 3,213,WHL,67,13,11,24,0.36,60,13,66,20,24,44,0.67,72,10,3.51616
89,Dallas Stars,Scott Winkler,NO,C,18,,Russell Stover ,MWEHL,,,,,,,6′ 2,195,Norway2,25,6,6,12,0.48,2,0,70,40,52,92,1.31,36,0,6.87488
90,New York Rangers,Tomas Kundratek,CZ,D,18,2013,HC Ocelari Trinec ,Czech,30,1,6,7,-5,10,6′ 2,201,Czech U20,33,4,13,17,0.52,93,28,14,0,1,1,0.07,10,1,0.36736
91,Detroit Red Wings,Max Nicastro,US,D,18,,Chicago Steel ,USHL,,,,,,,6′ 2,189,18U AAA,48,17,19,36,0.75,44,0,58,6,14,20,0.34,78,7,1.78432
92,San Jose Sharks,Samuel Groulx,CA,D,18,,Quebec Remparts ,QMJHL,,,,,,,6′ 2,182,QMAAA,36,2,9,11,0.31,62,0,70,5,20,25,0.36,100,5,1.88928
94,Atlanta Thrashers,Vinny Saponari,US,RW,18,,USA U-18 Development Team ,USDP/NAHL,,,,,,,6′ 0,179,USDP/NAHL,35,9,10,19,0.54,43,0,43,12,19,31,0.72,49,5,3.77856
95,St. Louis Blues,David Warsofsky,US,D,18,2018,USA U-18 Development Team ,USDP/NAHL,55,2,9,11,-6,8,5′ 8,160,USHS-Prep,29,15,34,49,1.69,55,0,41,5,29,34,0.83,26,0,4.35584
