Overall,Team,Player,Nat.,Pos,Age,To,Junior Team,League,GP,G,A,PTS,+/-,PIM,Height,Weight,D-1_League,D-1_GP,D-1_G,D-1_A,D-1_TP,D-1_P/G,D-1_PIM,D-1_+/-,D0_GP,D0_G,D0_A,D0_TP,D0_P/G,D0_PIM,D0_+/-
140,New York Rangers,Daniel Walcott,CA,D,20,2021,Blainville-Boisbriand Armada ,QMJHL,1,0,0,0,-1,5,5′ 11″,161,ACHA,33,4,9,13,0.39,30,0,67,10,29,39,0.58,71,15
141,Chicago Blackhawks,Luc Snuggerud,US,D,18,,Eden Priarie HS ,High-MN,,,,,,,6′ 0″,180,USHS-MN,25,5,33,38,1.52,24,0,25,8,30,38,1.52,19,0
142,New York Rangers,Tyler Nanne,US,D,18,,Edina HS ,High-MN,,,,,,,5′ 10″,174,USHS-MN,25,9,10,19,0.76,6,0,25,7,20,27,1.08,41,0
143,Florida Panthers,Miguel Fidler,US,LW,18,,Edina HS ,High-MN,,,,,,,5′ 11″,186,USHS-MN,23,5,6,11,0.48,28,0,25,16,25,41,1.64,24,0
144,Colorado Avalanche,Anton Lindholm,SE,D,19,2020,Skelleftea AIK Jr. ,Sweden Jr.,66,0,5,5,-4,16,6′ 0″,191,Sweden Jr.,37,1,9,10,0.27,24,14,39,1,5,6,0.15,34,3
145,Pittsburgh Penguins,Anthony Angello,US,C,18,2022,Omaha Lancers ,USHL,31,3,2,5,3,14,6′ 3″,190,EJHL,40,31,29,60,1.50,60,0,58,11,10,21,0.36,85,10
146,Boston Bruins,Anders Bjork,US,LW,18,2023,USA U-18 Development Team ,USDP/USHL,212,24,29,53,-21,42,5′ 11″,182,USDP/NAHL,56,12,12,24,0.43,48,0,61,21,21,42,0.69,10,0
147,Montreal Canadiens,Daniel Audette,US,C,18,,Sherbrooke Phoenix ,QMJHL,,,,,,,5′ 8″,175,QMJHL,54,10,19,29,0.54,65,31,68,21,55,76,1.12,79,37
148,Chicago Blackhawks,Andreas Soderberg,SE,D,18,,Skelleftea AIK Jr. ,Sweden Jr.,,,,,,,6′ 4″,200,J18-Elit,21,4,11,15,0.71,8,8,36,1,5,6,0.17,14,3
149,San Jose Sharks,Rourke Chartier,CA,C,18,2019,Kelowna Rockets ,WHL,13,1,0,1,-5,2,5′ 10″,173,WHL,58,13,17,30,0.52,16,8,72,24,34,58,0.81,8,26
151,Buffalo Sabres,Christopher Brown,US,C,18,,Cranbrook Kingswood School ,High-MI,,,,,,,6′ 0″,179,USHS-MI,31,23,27,50,1.61,6,0,28,26,58,84,3.00,21,0
152,New Jersey Devils,Joey Dudek,US,C,18,,Kimball Union Academy ,High-NH,,,,,,,5′ 11″,180,USHS-Prep,30,17,25,42,1.40,0,0,25,9,35,44,1.76,0,0
153,Edmonton Oilers,Tyler Vesel,US,C,20,,Omaha Lancers ,USHL,,,,,,,5′ 10″,180,USHS-Prep,55,32,45,77,1.40,16,0,49,33,38,71,1.45,22,40
154,Dallas Stars,Aaron Haydon,US,D,18,,Niagara IceDogs ,OHL,,,,,,,6′ 2″,197,OHL,42,4,6,10,0.24,39,7,61,5,11,16,0.26,112,39
155,New York Islanders,Kyle Schempp,US,C,20,,Ferris State ,WCHA,,,,,,,6′ 0″,178,USHL,64,13,28,41,0.64,28,26,43,10,15,25,0.58,12,10
156,Vancouver Canucks,Kyle Pettit,CA,C,18,,Erie Otters ,OHL,,,,,,,6′ 4″,200,OHL,67,3,3,6,0.09,21,10,53,5,5,10,0.19,24,3
157,Los Angeles Kings,Jake Marchment,CA,C,19,,Belleville Bulls ,OHL,,,,,,,6′ 3″,206,OPJHL,49,7,13,20,0.41,50,0,57,10,22,32,0.56,53,4
158,Toronto Maple Leafs,Nolan Vesey,US,LW,19,,South Shore ,USPHL Premier,,,,,,,5′ 11″,198,USHS-MA,24,22,18,40,1.67,0,0,48,26,40,66,1.38,30,0
159,Washington Capitals,Steven Spinner,US,RW,18,,Eden Priarie HS ,High-MN,,,,,,,5′ 11″,196,USHS-MN,23,15,26,41,1.78,29,0,25,17,22,39,1.56,42,0
160,Minnesota Wild,Pontus Sjalin,SE,D,18,,Ostersunds IK ,Sweden-3,,,,,,,6′ 0″,175,J18-Elit,24,8,5,13,0.54,22,3,21,3,1,4,0.19,8,10
161,New Jersey Devils,Brandon Baddock,CA,LW,19,2022,Edmonton Oil Kings ,WHL,1,0,0,0,0,0,6′ 3″,205,WHL,59,7,4,11,0.19,73,2,56,6,11,17,0.30,128,5
162,Nashville Predators,Aaron Irving,CA,D,18,,Edmonton Oil Kings ,WHL,,,,,,,6′ 0″,185,AJHL,43,1,6,7,0.16,57,0,63,9,21,30,0.48,88,26
163,Pheonix Coyotes,David Westlund,SE,D,19,,Brynas IF Jr. ,Sweden Jr.,,,,,,,6′ 3″,207,Sweden Jr.,32,1,5,6,0.19,59,4,33,5,5,10,0.30,61,9
164,Winnipeg Jets,Pavel Kraskovsky,RU,C,18,,Loko Yaroslavl ,Russia Jr.,,,,,,,6′ 4″,187,Russia-3,19,2,3,5,0.26,0,8,39,10,17,27,0.69,16,22
165,Dallas Stars,John Nyberg,SE,LW,18,,Frolunda HC Jr. ,Sweden Jr.,,,,,,,6′ 2″,180,J18 Elit,22,2,4,6,0.27,22,5,19,1,3,4,0.21,0,8
166,Detroit Red Wings,Julius Vahatalo,FI,LW,19,,TPS Jr. ,Finland Jr.,,,,,,,6′ 5″,191,U18-SM Sarja,13,11,13,24,1.85,8,0,33,18,21,39,1.18,6,20
167,Minnesota Wild,Chase Lang,CA,C,18,,Calgary Hitmen ,WHL,,,,,,,6′ 1″,193,WHL,44,4,7,11,0.25,10,2,68,10,15,25,0.37,52,13
168,Philadelphia Flyers,Radel Fazleev,RU,C,18,,Calgary Hitmen ,WHL,,,,,,,6′ 0″,176,Russia-3,9,0,0,0,0.00,0,0,38,5,20,25,0.66,12,1
169,Minnesota Wild,Reid Duke,CA,C,18,,Lethbridge Hurricanes ,WHL,,,,,,,6′ 0″,191,WHL,57,8,16,24,0.42,30,8,62,15,25,40,0.65,91,47
170,Tampa Bay Lightning,Cristiano Digiacinto,CA,LW,18,,Windsor Spitfires ,OHL,,,,,,,5′ 10″,186,ALLIANCE U18,29,22,19,41,1.41,52,0,50,17,11,28,0.56,101,8
171,San Jose Sharks,Kevin Labanc,US,RW,18,2023,Barrie Colts ,OHL,381,68,125,193,-47,173,5′ 10″,186,USDP/NAHL,67,9,14,23,0.34,30,0,65,11,24,35,0.54,30,3
172,St. Louis Blues,Chandler Yakimowicz,US,RW,18,,London Knights ,OHL,,,,,,,6′ 2″,198,MJHL,37,11,13,24,0.65,26,0,33,3,4,7,0.21,45,11
173,Pittsburgh Penguins,Jaden Lindo,CA,RW,18,,Owen Sound Attack ,OHL,,,,,,,6′ 1″,201,OHL,63,5,17,22,0.35,55,12,40,9,9,18,0.45,41,9
175,Calgary Flames,Adam Ollas-Mattsson,SE,D,18,,Djurgardens IF Jr. ,Sweden Jr.,,,,,,,6′ 4″,209,J18-Elit,22,0,7,7,0.32,28,32,33,1,8,9,0.27,42,2
176,St. Louis Blues,Samuel Blais,CA,LW,18,2023,Victoriaville Tigres ,QMJHL,151,17,25,42,4,65,5′ 9″,164,QMAAA,42,16,24,40,0.95,42,0,25,4,10,14,0.56,0,4
178,Chicago Blackhawks,Dylan Sikura,CA,C,19,2022,Aurora ,OJHL,58,3,14,17,5,0,5′ 11″,149,OPJHL,46,8,20,28,0.61,28,0,41,17,47,64,1.56,16,0
180,Los Angeles Kings,Matthew Mistele,CA,LW,18,,Plymouth Whalers ,OHL,,,,,,,6′ 1″,190,OHL,68,34,26,60,0.88,69,32,56,18,19,37,0.66,59,4
181,Buffalo Sabres,Victor Olofsson,SE,RW,19,2023,MODO Hockey Jr. ,Sweden Jr.,208,65,74,139,-43,22,5′ 7″,157,J18-Elit,19,19,17,36,1.89,6,31,44,32,21,53,1.20,16,13
184,Calgary Flames,Austin Carroll,CA,RW,20,,Victoria Royals ,WHL,,,,,,,6′ 3″,216,WHL,67,15,27,42,0.63,152,18,70,34,23,57,0.81,114,18
185,Tampa Bay Lightning,Cameron Darcy,US,C,20,,Cape Breton Screaming Eagles ,QMJHL,,,,,,,6′ 0″,192,USHL,45,12,19,31,0.69,40,1,65,35,47,82,1.26,51,3
186,Vancouver Canucks,Mackenze Stewart,CA,D,19,,Prince Albert Raiders ,WHL,,,,,,,6′ 3″,240,AJHL,33,1,4,5,0.15,65,0,55,5,4,9,0.16,69,7
187,Carolina Hurricanes,Kyle Jenkins,CA,D,18,,Soo Greyhounds ,OHL,,,,,,,6′ 0″,166,OPJHL,46,9,20,29,0.63,47,0,63,7,18,25,0.40,28,6
188,Toronto Maple Leafs,Pierre Engvall,SE,LW,18,2023,Frolunda HC Jr. ,Sweden Jr.,188,32,34,66,18,54,6′ 4″,191,J18-Elit,20,11,9,20,1.00,16,17,39,17,18,35,0.90,42,21
189,Ottawa Senators,Kelly Summers,CA,D,18,,Carleton Place ,CCHL,,,,,,,6′ 1″,191,CCHL,59,13,20,33,0.56,14,0,56,17,43,60,1.07,12,0
