,Round 1,,,,,,,,NHL Scoring Stats,,,,,,,,,,,,,,,,,,,,,,
Overall,Team,Player,Nat.,Pos,Age,To,Junior Team,League,GP,G,A,PTS,+/-,PIM,Height,Weight,D-1_League,D-1_GP,D-1_G,D-1_A,D-1_TP,D-1_P/G,D-1_PIM,D-1_+/-,D0_GP,D0_G,D0_A,D0_TP,D0_P/G,D0_PIM,D0_+/-
47,Los Angeles Kings,Tyler Toffoli,CA,C,18,2023,Ottawa 67's ,OHL,670,199,207,406,78,192,6′ 0,181,OHL,54,17,29,46,0.85,16,0,65,37,42,79,1.22,54,25
48,Edmonton Oilers,Curtis Hamilton,US,LW,18,2015,Saskatoon Blades ,WHL,1,0,0,0,0,5,6′ 3,202,WHL,58,20,28,48,0.83,24,28,26,7,9,16,0.62,6,9
50,Florida Panthers,Connor Brickley,US,C,18,2019,Des Moines Buccaneers ,USHL,81,6,15,21,-2,42,5′ 11.5,190,USHS-Prep,30,17,18,35,1.17,60,0,52,22,21,43,0.83,68,12
51,Detroit Red Wings,Calle Jarnkrok,SE,C,18,2023,Brynas IF ,Sweden,595,110,137,247,44,129,5′ 11,156,Sweden Jr.,41,8,18,26,0.63,37,0,33,4,6,10,0.3,2,5
52,Phoenix Coyotes,Phil Lane,US,RW,18,,Brampton Battalion ,OHL,,,,,,,6′ 2,194,OPJHL,45,18,24,42,0.93,72,0,64,18,14,32,0.5,52,10
53,Carolina Hurricanes,Mark Alt,US,D,18,2021,Cretin-Derham Hall ,High-MN,20,0,0,0,-2,4,6′ 3,199,USHS-MN,26,11,16,27,1.04,10,0,22,6,9,15,0.68,12,0
54,Chicago Blackhawks,Justin Holl,US,D,18,2023,Minnetonka HS ,High-MN,226,10,56,66,43,123,6′ 2,170,USHS-MN,28,1,6,7,0.25,4,0,25,17,14,31,1.24,8,0
55,Columbus Blue Jackets,Petr Straka,CZ,RW,18,2015,Rimouski Oceanic ,QMJHL,3,0,2,2,1,0,6′ 1,184,Czech U20,27,13,10,23,0.85,6,4,62,28,36,64,1.03,54,4
56,Minnesota Wild,Johan Larsson,SE,LW,18,2022,Brynas IF Jr. ,Sweden Jr.,488,53,79,132,-58,246,5′ 10,200,Sweden Jr.,33,4,5,9,0.27,55,0,40,15,19,34,0.85,80,0
57,Phoenix Coyotes,Oscar Lindberg,SE,C,18,2019,Skelleftea AIK ,Sweden,252,39,40,79,7,117,6′ 0,174,Sweden Jr.,38,14,19,33,0.87,54,0,36,1,1,2,0.06,35,7
59,Minnesota Wild,Jason Zucker,US,LW,18,2023,USA U-18 Development Team ,USDP/USHL,568,160,145,305,16,215,5′ 10,163,USDP/NAHL,36,11,4,15,0.42,55,3,38,18,17,35,0.92,24,0
60,Chicago Blackhawks,Stephen Johns,US,D,18,2020,USA U-18 Development Team ,USDP/USHL,167,15,18,33,-6,93,6′ 4,205,USDP/NAHL,31,3,5,8,0.26,30,3,62,3,16,19,0.31,67,0
61,Edmonton Oilers,Ryan Martindale,CA,C,18,,Ottawa 67's ,OHL,,,,,,,6′ 3,190,OHL,53,23,24,47,0.89,14,7,61,19,41,60,0.98,37,2
62,Toronto Maple Leafs,Greg McKegg,CA,C,18,2022,Erie Otters ,OHL,233,21,18,39,-24,65,6′ 0,185,OHL,64,8,10,18,0.28,22,13,67,37,48,85,1.27,32,18
63,Tampa Bay Lightning,Brock Beukeboom,US,D,18,,Soo Greyhounds ,OHL,,,,,,,6′ 1,197,OHL,55,2,9,11,0.20,26,15,66,7,19,26,0.39,64,9
64,Calgary Flames,Max Reinhart,CA,C,18,2015,Kootenay Ice ,WHL,23,1,4,5,-5,6,6′ 1,180,WHL,62,11,16,27,0.44,21,2,72,21,30,51,0.71,38,12
65,New York Islanders,Kirill Kabanov,RU,LW,18,,Moncton Wildcats ,QMJHL,,,,,,,6′ 3,176,Russia-3,35,16,14,30,0.86,62,0,22,10,13,23,1.05,34,4
66,Tampa Bay Lightning,Radko Gudas,CZ,D,20,2023,Everett Silvertips ,WHL,630,32,120,152,58,788,5′ 11,192,Czech-2,21,0,3,3,0.14,74,7,65,7,30,37,0.57,151,45
67,Carolina Hurricanes,Danny Biega,CA,D,18,2015,Harvard ,ECAC,10,0,2,2,-5,0,6′ 0,200,USHS-Prep,29,8,14,22,0.76,0,0,32,5,4,9,0.28,47,2
68,Buffalo Sabres,Jerome Gauthier-Leduc,CA,D,18,,Rouyn-Noranda Huskies ,QMJHL,,,,,,,6′ 0.5,180,QMJHL,52,1,16,17,0.33,8,20,68,20,26,46,0.68,16,26
69,Florida Panthers,Joe Basaraba,CA,RW,18,,Shattuck-St. Mary's School ,High-MN,,,,,,,6′ 2,190,USHS-Prep,54,20,24,44,0.81,54,0,52,24,22,46,0.88,39,0
70,Los Angeles Kings,Jordan Weal,CA,C,18,2020,Regina Pats ,WHL,218,32,37,69,-20,56,5′ 8.5,156,WHL,65,16,54,70,1.08,26,10,72,35,67,102,1.42,54,3
71,Colorado Avalanche,Michael Bournival,CA,LW,18,2018,Shawinigan Cataractes ,QMJHL,113,12,10,22,-6,24,5′ 11,184,QMJHL,46,11,11,22,0.48,29,13,58,24,38,62,1.07,37,1
72,Tampa Bay Lightning,Adam Janosik,SK,D,18,,Gatineau Olympiques ,QMJHL,,,,,,,5′ 10.5,170,Czech U20,22,1,8,9,0.41,12,9,63,9,26,35,0.56,45,14
73,Calgary Flames,Joey Leach,CA,D,18,,Kootenay Ice ,WHL,,,,,,,6′ 3,187,WHL,12,1,0,1,0.08,4,2,70,3,23,26,0.37,77,33
74,St. Louis Blues,Max Gardiner,US,C,18,,Minnetonka HS ,High-MN,,,,,,,6′ 2.5,176,USHS-MN,25,15,28,43,1.72,8,0,17,17,26,43,2.53,14,0
75,Buffalo Sabres,Kevin Sundher,CA,C,18,,Chilliwack Bruins ,WHL,,,,,,,6′ 0,192,WHL,67,19,20,39,0.58,68,22,72,25,36,61,0.85,101,9
76,Ottawa Senators,Jakub Culek,CZ,LW,18,,Rimouski Oceanic ,QMJHL,,,,,,,6′ 3,175,Czech U20,12,3,2,5,0.42,10,3,63,13,34,47,0.75,54,0
77,Dallas Stars,Alexander Guptill,CA,LW,18,,Orangeville ,OJHL,,,,,,,6′ 2.5,196,OPJHL,49,30,34,64,1.31,28,0,29,19,18,37,1.28,50,11
78,Nashville Predators,Taylor Aronson,US,D,18,,Portland Winterhawks ,WHL,,,,,,,6′ 0,196,T1EHL-18U,45,9,16,25,0.56,68,0,71,5,25,30,0.42,65,13
79,Toronto Maple Leafs,Sondre Olden,NO,C,18,,MODO Hockey Jr. ,Sweden Jr.,,,,,,,6′ 3,172,Norway2,24,9,17,26,1.08,4,0,32,7,20,27,0.84,22,0
80,Pittsburgh Penguins,Bryan Rust,US,RW,18,2023,USA U-18 Development Team ,USDP/USHL,444,129,151,280,43,147,5′ 11.5,191,USDP/NAHL,42,6,9,15,0.36,18,5,66,26,26,52,0.79,24,0
81,Detroit Red Wings,Louis-Marc Aubry,CA,C,18,,Montreal Juniors ,QMJHL,,,,,,,6′ 3,190,QMJHL,65,10,12,22,0.34,53,7,66,15,18,33,0.5,69,5
82,New York Islanders,Jason Clark,US,C/LW,18,,Shattuck-St. Mary's School ,High-MN,,,,,,,6′ 1.5,180,USHS-Prep,52,18,26,44,0.85,68,0,54,23,23,46,0.85,80,0
83,Buffalo Sabres,Matt MacKenzie,CA,D,18,,Calgary Hitmen ,WHL,,,,,,,6′ 1,185,WHL,49,3,9,12,0.24,24,11,64,6,33,39,0.61,62,16
85,Carolina Hurricanes,Austin Levi,US,D,18,,Plymouth Whalers ,OHL,,,,,,,6′ 3,192,OHL,12,0,2,2,0.17,4,4,68,3,9,12,0.18,116,10
86,Washington Capitals,Stanislav Galiev,RU,RW,18,2016,Saint John Sea Dogs ,QMJHL,26,1,3,4,3,4,6′ 1,177,USHL,60,29,35,64,1.07,46,11,67,15,45,60,0.9,38,41
87,Atlanta Thrashers,Julian Melchiori,CA,D,18,2017,Newmarket ,OJHL,30,0,2,2,0,8,6′ 3,182,OPJHL,48,2,20,22,0.46,34,0,39,7,16,23,0.59,16,0
88,San Jose Sharks,Max Gaede,US,RW,18,,Woodbury HS ,High-MN,,,,,,,6′ 2,187,USHS-MN,27,16,28,44,1.63,66,0,25,19,17,36,1.44,36,0
89,Philadelphia Flyers,Michael Chaput,CA,C,18,2021,Lewiston MAINEiacs ,QMJHL,182,6,16,22,-34,88,6′ 1.5,194,QMJHL,29,3,7,10,0.34,34,1,68,28,27,55,0.81,60,12
90,Chicago Blackhawks,Joakim Nordstrom,SE,C,18,2021,AIK Jr. ,Sweden Jr.,444,32,43,75,-34,77,6′ 1,160,J18-Elit,22,6,11,17,0.77,18,0,28,6,9,15,0.54,53,0
91,Edmonton Oilers,Jeremie Blain,CA,D,18,,Acadie-Bathurst Titan ,QMJHL,,,,,,,6′ 2,190,QMJHL,49,1,6,7,0.14,6,5,64,4,34,38,0.59,72,22
93,Florida Panthers,Ben Gallacher,CA,D,18,,Camrose ,AJHL,,,,,,,5′ 11,183,AJHL,43,4,6,10,0.23,58,0,34,3,19,22,0.65,61,0
94,Columbus Blue Jackets,Brandon Archibald,US,D,18,,Soo Greyhounds ,OHL,,,,,,,6′ 3,203,OHL,61,0,8,8,0.13,45,18,68,5,28,33,0.49,81,11
95,Colorado Avalanche,Stephen Silas,CA,D,18,,Belleville Bulls ,OHL,,,,,,,6′ 0,180,OHL,63,3,14,17,0.27,18,2,66,4,45,49,0.74,61,27
96,Tampa Bay Lightning,Geoffrey Schemitsch,CA,D,18,,Owen Sound Attack ,OHL,,,,,,,6′ 1,180,GTHL U18,33,9,22,31,0.94,20,0,62,4,36,40,0.65,26,1
97,Boston Bruins,Craig Cunningham,CA,LW,20,2016,Vancouver Giants ,WHL,63,3,5,8,-8,6,5′ 10,180,WHL,72,28,22,50,0.69,62,28,72,37,60,97,1.35,44,6
98,Buffalo Sabres,Steven Shipley,CA,C,18,,Owen Sound Attack ,OHL,,,,,,,6′ 2,200,OHL,63,16,23,39,0.62,19,22,68,23,40,63,0.93,32,18
99,Florida Panthers,Joonas Donskoi,FI,RW,18,2022,Karpat ,Finland,474,80,128,208,25,116,5′ 11,165,Finland Jr.,32,7,17,24,0.75,12,3,18,2,2,4,0.22,4,2
100,New York Rangers,Andrew Yogan,US,C/LW,18,,Erie Otters ,OHL,,,,,,,6′ 3,202,OHL,51,22,20,42,0.82,56,15,63,25,30,55,0.87,97,10
101,Atlanta Thrashers,Ivan Telegin,RU,LW,18,,Saginaw Spirit ,OHL,,,,,,,6′ 3,185,Russia-3,10,1,5,6,0.60,4,0,51,26,18,44,0.86,20,2
103,Calgary Flames,John Ramage,CA,D,19,2016,Wisconsin ,WCHA,2,0,0,0,-3,0,6′ 0,195,USDP/NAHL,40,1,4,5,0.13,32,0,41,2,10,12,0.29,51,16
104,St. Louis Blues,Jani Hakanpaa,FI,D,18,2023,Kiekko-Vantaa Jr. ,Finland Jr.,162,10,13,23,14,110,6′ 4,211,U18-1 divisioona,9,2,4,6,0.67,14,0,23,2,12,14,0.61,49,0
105,Carolina Hurricanes,Justin Shugg,CA,LW,18,2015,Windsor Spitfires ,OHL,3,0,0,0,0,2,5′ 11,184,OHL,68,17,16,33,0.49,48,21,67,39,40,79,1.18,43,19
106,Ottawa Senators,Marcus Sorensen,SE,RW,18,2021,Sodertalje SK Jr. ,Sweden Jr.,226,31,33,64,-13,74,5′ 11,156,J18-Elit,18,8,9,17,0.94,36,0,27,7,10,17,0.63,54,0
108,Calgary Flames,Bill Arnold,US,C,18,2014,USA U-18 Development Team ,USDP/USHL,1,0,0,0,-1,0,6′ 0,215,USHS-Prep,29,28,27,55,1.90,0,0,64,20,31,51,0.8,50,0
109,Dallas Stars,Alex Theriau,CA,D,18,,Everett Silvertips ,WHL,,,,,,,6′ 1.5,189,WHL,55,1,4,5,0.09,28,13,70,4,20,24,0.34,68,12
110,Pittsburgh Penguins,Tom Kuhnhackl,DE,C,18,2020,Landshut ,Germany-2,232,18,36,54,2,60,6′ 2,172,Germany2,42,11,10,21,0.50,34,0,38,12,9,21,0.55,38,0
111,Detroit Red Wings,Teemu Pulkkinen,FI,LW,18,2017,Jokerit Jr. ,Finland Jr.,83,13,9,22,5,32,5′ 11,170,Finland Jr.,24,15,13,28,1.17,12,10,17,20,21,41,2.41,41,22
113,Montreal Canadiens,Mark MacMillan,CA,F,18,,Alberni Valley ,BCHL,,,,,,,6′ 0,150,N/A,0,0,0,0,0.00,0,0,59,26,54,80,1.36,44,0
114,New Jersey Devils,Joe Faust,US,D,18,,Bloomington Jefferson HS ,High-MN,,,,,,,5′ 10.5,190,USHS-MN,28,14,26,40,1.43,12,0,25,12,28,40,1.6,18,0
