,Round 1,,,,,,,NHL Scoring Stats,,,,,,,,,,,,,,,,,,,,,,,
Overall,Team,Player,Nat.,Pos,Age,To,Junior Team,League,GP,G,A,PTS,+/-,PIM,Height,Weight,D-1_League,D-1_GP,D-1_G,D-1_A,D-1_TP,D-1_P/G,D-1_PIM,D-1_+/-,D0_GP,D0_G,D0_A,D0_TP,D0_P/G,D0_PIM,D0_+/-
29,Vancouver Canucks,Nicklas Jensen,DK,LW,18,2017,Oshawa Generals ,OHL,31,3,3,6,-5,10,6′ 2,202,Denmark,34,12,14,26,0.76,28,0,61,29,29,58,0.95,42,14
30,Anaheim Ducks,Rickard Rakell,SE,RW,18,2023,Plymouth Whalers ,OHL,589,166,199,365,-4,120,6′ 0,199,J18-Elit,18,12,4,16,0.89,8,0,49,20,25,45,0.92,12,14
31,Edmonton Oilers,David Musil,CA,D,18,2015,Vancouver Giants ,WHL,4,0,2,2,-2,2,6′ 3,196,WHL,71,7,25,32,0.45,67,33,62,6,19,25,0.4,83,1
32,St. Louis Blues,Ty Rattie,CA,RW,18,2019,Portland Winterhawks ,WHL,99,13,17,30,-4,12,5′ 11,165,WHL,61,17,20,37,0.61,38,10,67,28,51,79,1.18,55,20
33,Florida Panthers,Rocco Grimaldi,US,C,18,2022,USA U-18 Development Team ,USDP/USHL,203,30,37,67,-1,34,5′ 6,160,USDP/NAHL,62,21,42,63,1.02,50,0,58,39,34,73,1.26,65,0
34,New York Islanders,Scott Mayfield,US,D,18,2023,Youngstown Phantoms ,USHL,367,23,70,93,13,332,6′ 4,203,USHL,59,10,12,22,0.37,145,4,52,7,9,16,0.31,159,18
35,Detroit Red Wings,Tomas Jurco,SK,RW,18,2021,Saint John Sea Dogs ,QMJHL,221,22,31,53,-10,64,6′ 1,191,QMJHL,64,26,25,51,0.80,24,34,60,31,25,56,0.93,17,46
36,Chicago Blackhawks,Adam Clendening,US,D,18,2019,Boston University ,H-East,90,4,20,24,11,49,5′ 11,187,USDP/NAHL,39,10,22,32,0.82,76,0,39,5,21,26,0.67,80,8
37,Columbus Blue Jackets,Boone Jenner,CA,C,18,2023,Oshawa Generals ,OHL,608,152,146,298,-34,341,6′ 1,196,OHL,65,19,30,49,0.75,91,22,63,25,41,66,1.05,57,10
40,Boston Bruins,Alexander Khokhlachev,RU,C,18,2016,Windsor Spitfires ,OHL,9,0,0,0,-4,2,5′ 10,183,Russia-3,51,15,25,40,0.78,22,0,67,34,42,76,1.13,28,9
41,St. Louis Blues,Dmitrij Jaskin,RU,RW,18,2022,HC Slavia Praha ,Czech,315,27,43,70,6,92,6′ 2,196,Czech U20,40,13,10,23,0.58,67,11,33,3,7,10,0.3,16,4
42,Carolina Hurricanes,Victor Rask,SE,C,18,2022,Leksands IF ,Sweden-2,506,89,134,223,-22,86,6′ 1,189,Sweden Jr.,39,22,19,41,1.05,35,0,37,5,6,11,0.3,8,5
43,Chicago Blackhawks,Brandon Saad,US,LW,18,2023,Saginaw Spirit ,OHL,722,211,212,423,61,134,6′ 1,203,USDP/NAHL,39,17,15,32,0.82,34,0,59,27,28,55,0.93,47,8
44,Dallas Stars,Brett Ritchie,CA,RW,18,2023,Sarnia Sting ,OHL,358,46,32,78,-11,244,6′ 3,209,OHL,65,13,16,29,0.45,35,33,49,21,20,41,0.84,47,1
45,Calgary Flames,Markus Granlund,FI,C,18,2020,HIFK Jr. ,Finland Jr.,335,58,43,101,-40,86,5′ 11,166,Finland Jr.,37,17,25,42,1.14,38,31,40,20,32,52,1.3,49,5
46,St. Louis Blues,Joel Edmundson,CA,D,18,2023,Moose Jaw Warriors ,WHL,426,26,66,92,47,382,6′ 5,190,MMHL,44,10,25,35,0.80,54,0,71,2,18,20,0.28,95,3
