Overall,Team,Player,Nat.,Pos,Age,To,Junior Team,League,GP,G,A,PTS,+/-,PIM,Height,Weight,D-1_League,D-1_GP,D-1_G,D-1_A,D-1_TP,D-1_P/G,D-1_PIM,D-1_+/-,D0_GP,D0_G,D0_A,D0_TP,D0_P/G,D0_PIM,D0_+/-
28,San Jose Sharks,Nicholas Petrecki,US,D,18,2013,Omaha Lancers ,USHL,1,0,0,0,0,0,6′ 3,230,USHL,53,0,3,3,0.06,110,-12,,,,,,,
29,Ottawa Senators,Jim O'Brien,US,C,18,2018,Minnesota ,WCHA,77,8,5,13,-4,16,6′ 2,200,USDP/NAHL,51,17,24,41,0.8,76,0,43,7,8,15,0.35,51,4
30,Phoenix Coyotes,Nick Ross,CA,D,18,,Regina Pats ,WHL,,,,,,,6′ 1,196,WHL,62,7,16,23,0.37,38,-3,,,,,,,
31,Buffalo Sabres,T.J. Brennan,US,D,18,2016,St. John's Fog Devils ,QMJHL,53,5,8,13,-22,29,6′ 0,208,AJHL,42,9,23,32,0.76,84,0,,,,,,,
32,Phoenix Coyotes,Brett Maclean,CA,LW,18,2012,Oshawa Generals ,OHL,18,2,3,5,1,4,6′ 1,200,OHL,48,16,30,46,0.96,35,6,,,,,,,
33,Vancouver Canucks,Taylor Ellington,CA,D,18,,Everett Silvertips ,WHL,,,,,,,6′ 0,200,WHL,63,0,7,7,0.11,62,0,,,,,,,
34,Washington Capitals,Josh Godfrey,CA,D,19,,Soo Greyhounds ,OHL,,,,,,,6′ 1,202,OHL,63,8,13,21,0.33,64,0,,,,,,,
35,Boston Bruins,Tommy Cross,US,D,18,2016,Westminster School ,High-CT,3,0,1,1,-1,0,6′ 3,195,High-CT,22,15,35,50,2.27,18,0,,,,,,,
37,Columbus Blue Jackets,Stefan Legein,CA,RW,18,,Mississagua IceDogs ,OHL,,,,,,,5′ 9,170,OHL,59,7,9,16,0.27,101,-5,,,,,,,
38,Chicago Blackhawks,Bill Sweatt,US,LW,18,2013,Colorado College ,WCHA,3,0,0,0,-1,0,6′ 0,190,USDP/NAHL,42,19,11,30,0.71,24,0,30,9,17,26,0.87,18,1
39,St. Louis Blues,Simon Hjalmarsson,SE,RW,18,,Frolunda HC Jr. ,Sweden Jr.,,,,,,,5′ 11,161,Sweden Jr.,31,8,10,18,0.58,8,0,,,,,,,
40,Florida Panthers,Michal Repik,CZ,RW,18,2012,Vancouver Giants ,WHL,72,9,11,20,-7,36,5′ 10,180,WHL,69,24,28,52,0.75,55,19,,,,,,,
41,Philadelphia Flyers,Kevin Marshall,CA,D,18,2012,Lewiston MAINEiacs ,QMJHL,10,0,0,0,-1,8,6′ 1,191,QMJHL,60,1,10,11,0.18,112,5,,,,,,,
42,Anaheim Ducks,Eric Tangradi,US,C,18,2019,Belleville Bulls ,OHL,150,5,11,16,-22,86,6′ 4,221,High-CT,38,21,23,44,1.16,120,0,,,,,,,
43,Montreal Canadiens,P.K. Subban,CA,D,18,2022,Belleville Bulls ,OHL,834,115,352,467,5,905,6′ 0,206,OHL,52,5,7,12,0.23,70,-2,,,,,,,
44,St. Louis Blues,Aaron Palushaj,US,RW,18,2014,Des Moines Buccaneers ,USHL,68,3,11,14,-1,18,5′ 11,187,USHL,58,10,23,33,0.57,53,11,,,,,,,
45,Colorado Avalanche,Colby Cohen,US,D,18,2011,Lincoln Stars ,USHL,3,0,0,0,-1,4,6′ 2,200,USDP/NAHL,28,3,4,7,0.25,22,0,,,,,,,
46,Washington Capitals,Theo Ruth,US,D,18,,USA U-18 Development Team ,USDP/NAHL,,,,,,,6′ 1,199,USDP/NAHL,66,3,8,11,0.17,82,0,,,,,,,
47,Tampa Bay Lightning,Dana Tyrell,CA,C/RW,18,2015,Prince George Cougars ,WHL,135,7,17,24,-14,26,5′ 11,185,WHL,69,7,11,18,0.26,44,-3,,,,,,,
50,Dallas Stars,Nico Sacchetti,US,C,18,,Virginia HS ,High-MN,,,,,,,5′ 11,189,High-MN,27,29,45,74,2.74,0,0,,,,,,,
51,Pittsburgh Penguins,Keven Veilleux,CA,C,18,,Victoriaville Tigres ,QMJHL,,,,,,,6′ 5,218,QMJHL,33,2,13,15,0.45,4,-8,,,,,,,
52,Los Angeles Kings,Oscar Moller,SE,C,18,2011,Chilliwack Bruins ,WHL,87,12,14,26,-10,22,5′ 10,189,Sweden Jr.,25,8,5,13,0.52,41,0,,,,,,,
53,Columbus Blue Jackets,Will Weber,US,D,18,,Gaylord HS ,High-MI,,,,,,,6′ 4,205,High-MI,27,5,9,14,0.52,56,0,,,,,,,
55,Colorado Avalanche,T.J. Galiardi,CA,LW,19,2015,Dartmouth ,ECAC,321,44,61,105,-32,136,6′ 2,190,AJHL,56,19,37,56,1,60,0,33,14,17,31,0.94,30,15
56,Chicago Blackhawks,Akim Aliu,NG,RW,18,2013,Sudbury Wolves ,OHL,7,2,1,3,1,26,6′ 4,225,OHL,47,10,10,20,0.43,79,-4,,,,,,,
57,New Jersey Devils,Mike Hoeffel,US,LW,18,,USA U-18 Development Team ,USDP/NAHL,,,,,,,6′ 2,186,High-MN,28,26,44,70,2.5,0,0,,,,,,,
58,Nashville Predators,Nick Spaling,CA,C,18,2016,Kitchener Rangers ,OHL,437,52,72,124,-26,120,6′ 1,196,OHL,62,10,15,25,0.4,22,13,,,,,,,
59,Buffalo Sabres,Drew Schiestel,CA,D,18,,Mississagua IceDogs ,OHL,,,,,,,6′ 1,193,OHL,40,1,4,5,0.13,42,-10,,,,,,,
60,Ottawa Senators,Ruslan Bashkirov,RU,LW,18,,Quebec Remparts ,QMJHL,,,,,,,5′ 11,186,Russia-3,35,16,9,25,0.71,44,0,,,,,,,
61,Los Angeles Kings,Wayne Simmonds,CA,RW,19,2023,Owen Sound Attack ,OHL,1023,263,262,525,-93,1266,6′ 2,183,CCHL,49,24,19,43,0.88,127,0,,,,,,,
62,New York Islanders,Mark Katic,CA,D,18,2011,Sarnia Sting ,OHL,11,0,1,1,-9,4,5′ 10,195,OHL,51,5,29,34,0.67,33,-24,,,,,,,
63,Anaheim Ducks,Maxime Macenauer,CA,C,18,2012,Rouyn-Noranda Huskies ,QMJHL,29,1,3,4,-4,18,5′ 11,188,QMJHL,41,8,14,22,0.54,30,-19,,,,,,,
64,Dallas Stars,Sergei Korostin,RU,RW,18,,Dynamo Moskva ,Russia,,,,,,,5′ 11,180,Russia-3,41,25,8,33,0.8,38,0,,,,,,,
65,Montreal Canadiens,Olivier Fortier,CA,C,18,,Rimouski Oceanic ,QMJHL,,,,,,,5′ 11,181,QMJHL,40,6,10,16,0.4,30,-16,,,,,,,
66,Philadelphia Flyers,Garrett Klotz,CA,LW,18,,Saskatoon Blades ,WHL,,,,,,,6′ 6,235,WHL,35,2,0,2,0.06,26,-4,,,,,,,
67,Atlanta Thrashers,Spencer Machacek,CA,RW,18,2012,Vancouver Giants ,WHL,25,2,7,9,6,7,6′ 1,200,WHL,70,23,22,45,0.64,53,14,,,,,,,
68,Columbus Blue Jackets,Jake Hansen,US,W,18,,Sioux Falls Stampede ,USHL,,,,,,,6′ 1,168,High-MN,0,0,0,0,0,0,0,,,,,,,
69,Chicago Blackhawks,Maxime Tanguay,CA,C,18,,Rimouski Oceanic ,QMJHL,,,,,,,5′ 11,170,QMJHL,65,5,22,27,0.42,50,-18,,,,,,,
70,Calgary Flames,John Negrin,CA,D,18,2009,Kootenay Ice ,WHL,3,0,1,1,-2,2,6′ 2,195,WHL,55,3,7,10,0.18,48,1,,,,,,,
71,Florida Panthers,Evgenii Dadonov,RU,RW,18,2023,Traktor Chelyabinsk ,Russia,429,125,142,267,-20,68,5′ 10,178,Russia-3,20,6,6,12,0.6,2,0,,,,,,,
72,Carolina Hurricanes,Drayson Bowman,US,C/LW,18,2015,Spokane Chiefs ,WHL,179,15,18,33,-8,53,6′ 1,190,WHL,72,17,17,34,0.47,51,-10,,,,,,,
